Unnamed: 0,File,School,Field,Year,File_Path,Maori_words
51,characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\characteristics_of_small_accidental_fires_in_new_zealand_dwellings_2020.pdf,"kāhui, kauri, irani, aeaoa, mimeo, hamani, hira, rotorua, emeka, ea, renene, aotearoa, iene, amore, panuku, tanaka, kakitahi, iea, kua, putu, petone, pou, wakita, atie, urenio, ea, motu, merino, otakaro, emanate, nuria, huia, mani, mua, ahuri, wou, maa, nawawi, opine, wengui, rii, waitakere, wiri, rino, akoma, makerere, memari, ara, maori, ina, oionomou, ikau, porirua, mangere, urenio, moreno, rohe, hou, kaka, kumara, ngai, hirai, tawie, nakamoto, hao, tumi, mei, romo, hoai, waikato, nakamato, makaremi, ngowi, māori, oikonomou, pone, kiwi, waimairi, ani"
52,comparing_the_effectiveness_of_fire_extinguisher_virtual_reality_and_video_training_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\comparing_the_effectiveness_of_fire_extinguisher_virtual_reality_and_video_training_2020.pdf,"hone, aei, rahouti, inoue"
53,computational_quantification_of_brain_perivascular_space_morphologies_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\computational_quantification_of_brain_perivascular_space_morphologies_2020.pdf,"pone, akaike"
54,evacuation_data_from_a_hospital_outpatient_drill_the_case_study_of_north_shore_hospital_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\evacuation_data_from_a_hospital_outpatient_drill_the_case_study_of_north_shore_hospital_2020.pdf,"waitemata, aitemata, ime, hori, rahouti, rahouti"
55,exposed_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\exposed_2020.pdf,"rimea, rimea, eti, reneke, mawani, ito, moreno, eti"
56,glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\glass_curtain_wall_technology_and_sustainability_in_commercial_buildings_in_auckland_new_zealand_2020.pdf,"ene, ine, automa, uti, ime, ere"
57,how_people_make_decisions_during_earthquakes_and_post_earthquake_evacuation_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\how_people_make_decisions_during_earthquakes_and_post_earthquake_evacuation_2020.pdf,pineau
58,human_behaviour_during_a_healthcare_facility_evacuation_drills_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\human_behaviour_during_a_healthcare_facility_evacuation_drills_2020.pdf,"kahui, pineau, manaaki, ua, uana, uahi, rahouti, rahoutia, rahouti, aare"
59,modeling_evacuation_behavior_in_the_2019_kincade_fire_sonoma_county_california_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\modeling_evacuation_behavior_in_the_2019_kincade_fire_sonoma_county_california_2020.pdf,"ama, wui, kaiai"
60,modelling_and_interpreting_pre_evacuation_decision_making_using_machine_learning_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\modelling_and_interpreting_pre_evacuation_decision_making_using_machine_learning_2020.pdf,"automata, retana, reneke, mauri, aei"
61,modelling_evacuation_decision_making_in_the_2016_chimney_tops_2_fire_in_gatlinburg_tn_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\modelling_evacuation_decision_making_in_the_2016_chimney_tops_2_fire_in_gatlinburg_tn_2020.pdf,"opie, moke, ute, ime, omori, wui, ina"
62,retinal_biomarkers_discovery_for_cerebral_small_vessel_disease_in_an_older_population_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\retinal_biomarkers_discovery_for_cerebral_small_vessel_disease_in_an_older_population_2020.pdf,"retina, miua, retina, retina, apa"
63,using_artificial_intelligence_for_safe_and_effective_wildfire_evacuations_2020.pdf,SBE,Building_Technology,2020,C:/Users/vwan118/Documents/MaoriStudy/CoS-Merged\SBE\Building_Technology\2020\using_artificial_intelligence_for_safe_and_effective_wildfire_evacuations_2020.pdf,"wui, opie"
